id,user_id,user_username,user_displayname,followersCount,friendsCount,statusesCount,favouritesCount,listedCount,mediaCount
1632767114380492803,1162694149956603904,TheBridge_Tech,The Bridge,624,132,621,297,11,318
1632746286133702658,1162694149956603904,TheBridge_Tech,The Bridge,624,132,621,297,11,318
1632692123412594688,1585726199485140993,ESOLIUPO,Asociación de Estudiantes de Software Libre UPO,14,22,29,13,0,11
1632692120719859712,1585726199485140993,ESOLIUPO,Asociación de Estudiantes de Software Libre UPO,14,22,29,13,0,11
1632664546665025536,41545659,nodosenlared,Mario Lopez de Avila,6274,4656,16829,11236,574,3111
1632147141224275970,925597948410580993,RoccoLozano,Valerio Rocco Lozano,7655,1303,13652,85989,70,1307
1632020293509083137,276656109,joobid,"Jorge Ordovás (🌸, 🌿)",5130,259,38881,11888,537,4928
1631978537904222211,1003872445,PauMugarra,Pau Mugarra,907,1080,5423,20622,36,211
1631674245896982528,763727449,OmarjLand,Omar Landaeta,124,330,2841,2925,2,83
1631600898777444354,1207228796593745920,decentralized_b,Decentralized ₿丰⚡,10272,1637,14259,35343,194,2876
1631548465649008640,1207228796593745920,decentralized_b,Decentralized ₿丰⚡,10272,1637,14259,35343,194,2876
1631528154744406018,2603024598,rperezmarco,Ricardo Pérez-Marco,7148,1904,9773,7712,143,416
1631244101902270464,1207228796593745920,decentralized_b,Decentralized ₿丰⚡,10272,1637,14259,35343,194,2876
1630831255922114562,1099588676181471233,turoninos,Flor_Turoninos,179,289,6485,83018,1,1151
1628402689255124995,1162694149956603904,TheBridge_Tech,The Bridge,624,132,621,297,11,318
1627677085232779265,1162694149956603904,TheBridge_Tech,The Bridge,624,132,621,297,11,318
1626573673527234560,1685197165,Metricool_es,Metricool ES ∞,21331,916,28511,26251,795,16405
1626573019844907008,1685197165,Metricool_es,Metricool ES ∞,21331,916,28511,26251,795,16405
1626267048434192385,1288769305014939650,42UrdulizFTef,42 Urduliz,1458,272,1610,4274,13,630
1626157411085033472,1003872445,PauMugarra,Pau Mugarra,907,1080,5423,20622,36,211
1626101043908993026,1099588676181471233,turoninos,Flor_Turoninos,179,289,6485,83018,1,1151
1625882688023416833,1162694149956603904,TheBridge_Tech,The Bridge,624,132,621,297,11,318
1625828554691805187,1162694149956603904,TheBridge_Tech,The Bridge,624,132,621,297,11,318
